1,Акролеин,(H2C),,0.839,52.7,0.2,0,0.013,3,"[0.1, 0.2, 0.1, 1.0, 2.2]",-4.94791666666667e-7*x**4 + 5.20833333333333e-6*x**3 + 0.00144791666666667*x**2 + 0.0179166666666667*x + 0.1,,
2,Аммиак хранение под давлением,(NH3),0.0008,0.681,33.42,15,0.18,0.025,0.04,"[0.0, 1.0, 6.0, 1.0, 14.0]",1.09375e-5*x**4 + 0.000145833333333333*x**3 - 0.016875*x**2 - 0.0583333333333333*x + 6.0,"[0.9, 1.0, 1.0, 1.0, 1.0]",-2.60416666666666e-8*x**4 + 1.04166666666667e-6*x**3 + 1.04166666666668e-5*x**2 - 0.000416666666666669*x + 1.0
3,Аммиак изотермическое хранение,(NH3),,0.681,33.42,15,0.01,0.025,0.04,"[0.0, 1.0, 1.0, 1.0, 1.0]",-2.60416666666667e-7*x**4 + 1.04166666666667e-5*x**3 + 0.000104166666666667*x**2 - 0.00416666666666667*x + 1.0,"[0.9, 1.0, 1.0, 1.0, 1.0]",-2.60416666666666e-8*x**4 + 1.04166666666667e-6*x**3 + 1.04166666666668e-5*x**2 - 0.000416666666666669*x + 1.0
4,Ацетонитрил,(C2HsN),,0.786,81.6,21.6,0,0.004,0.028,"[0.02, 0.3, 1.0, 1.0, 2.6]",8.90625e-7*x**4 + 1.22916666666667e-5*x**3 - 0.00123125*x**2 + 0.0125833333333333*x + 1.0,,
5,Ацетонциангидрин,(C4H7NO),,0.932,120,1.9,0,0.002,0.316,"[0.0, 0.0, 0.3, 1.0, 1.5]",-1.82291666666667e-7*x**4 - 5.20833333333334e-6*x**3 + 0.000572916666666667*x**2 + 0.0270833333333333*x + 0.3,,
6,Водород мышьяковистый,(AsH3),0.0035,1.64,62.47,0.2,0.17,0.054,3,"[3.0, 0.5, 8.0, 1.0, 12.0]",1.484375e-5*x**4 + 8.33333333333333e-5*x**3 - 0.0240625*x**2 - 0.0208333333333333*x + 8.0,"[1.0, 1.0, 1.0, 1.0, 1.0]",1.00000000000000
7,Водород фтористый,(HF),,0.989,19.52,4,0,0.028,0.15,"[0.1, 0.2, 0.5, 1.0, 1.0]",-1.82291666666667e-7*x**4 - 7.29166666666667e-6*x**3 + 0.000322916666666667*x**2 + 0.0229166666666667*x + 0.5,,
8,Водород хлористый,(HCl),0.0016,1.191,85.1,2,0.28,0.037,0.3,"[4.0, 6.0, 8.0, 1.0, 12.0]",9.375e-6*x**4 + 0.0001875*x**3 - 0.015*x**2 - 0.2*x + 8.0,"[1.0, 1.0, 1.0, 1.0, 1.0]",1.00000000000000
9,Водород бромистый,(HBr),0.0036,1.49,66.77,2.4,0.13,0.055,0.25,"[3.0, 0.5, 8.0, 1.0, 12.0]",1.484375e-5*x**4 + 8.33333333333333e-5*x**3 - 0.0240625*x**2 - 0.0208333333333333*x + 8.0,"[1.0, 1.0, 1.0, 1.0, 1.0]",1.00000000000000
10,Водород цианистый,(HCN),,0.687,25.7,0.2,0,0.026,3,"[0.0, 0.0, 0.4, 1.0, 1.3]",-7.8125e-8*x**4 - 7.29166666666667e-6*x**3 + 0.00028125*x**2 + 0.0279166666666667*x + 0.4,,
11,Диметиламин,((CH3)2NH),0.002,0.68,6.9,1.2,0.06,0.041,0.5,"[0.0, 0.0, 0.0, 1.0, 2.5]",-3.90625e-7*x**4 + 5.20833333333334e-6*x**3 + 0.00140625*x**2 + 0.0229166666666667*x,"[0.1, 0.3, 0.8, 1.0, 1.0]",1.82291666666667e-7*x**4 - 5.20833333333333e-6*x**3 - 0.000447916666666667*x**2 + 0.0195833333333333*x + 0.8
12,Метиламин,(CH5N),0.0014,0.699,6.5,1.2,0.13,0.034,0.5,"[0.0, 0.0, 3.0, 1.0, 18.0]",8.33333333333333e-6*x**4 + 0.000166666666666667*x**3 - 0d.00958333333333333*x**2 - 0.0416666666666667*x + 3.0,"[0.3, 0.7, 1.0, 1.0, 1.0]",1.30208333333333e-7*x**4 + 1.04166666666667e-6*x**3 - 0.000427083333333333*x**2 + 0.00708333333333334*x + 1.0
13,Метил бромистый,(CHBr),,1.732,3.6,1.2,0.04,0.039,0.5,"[0.0, 0.0, 0.0, 1.0, 23.0]",4.94791666666667e-6*x**4 + 0.00021875*x**3 - 0.000729166666666667*x**2 - 0.0625*x,"[0.2, 0.4, 0.9, 1.0, 1.0]",2.60416666666667e-7*x**4 - 4.16666666666667e-6*x**3 - 0.000604166666666666*x**2 + 0.0166666666666667*x + 0.9
14,Метил хлористый,(CH3Cl),0.0023,0.983,23.76,10.8,0.125,0.044,0.056,"[0.0, 0.1, 6.0, 1.0, 15.0]",1.21354166666667e-5*x**4 + 0.0001375*x**3 - 0.0184791666666667*x**2 - 0.0325*x + 6.0,"[0.5, 1.0, 1.0, 1.0, 1.0]",-1.30208333333333e-7*x**4 + 5.20833333333334e-6*x**3 + 5.20833333333332e-5*x**2 - 0.00208333333333333*x + 1.0
15,Метилакрилат,(C4H6O2),,0.953,80.2,6,0,0.005,0.1,"[0.1, 0.2, 0.4, 1.0, 3.1]",2.08333333333333e-7*x**4 + 1.45833333333333e-5*x**3 + 0.000416666666666667*x**2 + 0.0141666666666667*x + 0.4,,
16,Метилмеркаптан,(CH34S),,0.867,5.95,1.7,0.06,0.043,0.353,"[0.0, 0.0, 0.0, 1.0, 24.0]",5.20833333333333e-6*x**4 + 0.000229166666666667*x**3 - 0.000833333333333333*x**2 - 0.0666666666666667*x,"[0.1, 0.3, 0.8, 1.0, 1.0]",1.82291666666667e-7*x**4 - 5.20833333333333e-6*x**3 - 0.000447916666666667*x**2 + 0.0195833333333333*x + 0.8
17,Нитрил акриловой кислоты,(C3H3N),,0.806,77.3,0.75,0,0.007,0.8,"[0.04, 0.1, 0.4, 1.0, 2.4]",1.14583333333333e-7*x**4 + 5.83333333333333e-6*x**3 + 0.000329166666666667*x**2 + 0.0201666666666667*x + 0.4,,
18,Окислы азота,,,1.491,21,1.5,0,0.04,0.4,"[0.0, 0.0, 0.4, 1.0, 1.0]",-1.5625e-7*x**4 - 1.04166666666667e-5*x**3 + 0.0003125*x**2 + 0.0291666666666667*x + 0.4,,
19,Окись этилена,(C2H4O),,0.882,10.7,2.2,0.05,0.041,0.27,"[0.0, 0.0, 0.0, 1.0, 32.0]",7.29166666666667e-6*x**4 + 0.0003125*x**3 - 0.00166666666666667*x**2 - 0.1*x,"[0.1, 0.3, 0.7, 1.0, 1.0]",2.60416666666665e-8*x**4 - 5.20833333333333e-6*x**3 - 0.000135416666666666*x**2 + 0.0195833333333333*x + 0.7
20,Сернистый ангидрид,(SO2),0.0029,1.462,10.1,1.8,0.11,0.049,0.333,"[0.0, 0.0, 3.0, 1.0, 17.0]",8.07291666666667e-6*x**4 + 0.00015625*x**3 - 0.00947916666666667*x**2 - 0.0375*x + 3.0,"[0.2, 0.5, 1.0, 1.0, 1.0]",3.125e-7*x**4 - 2.08333333333333e-6*x**3 - 0.00075*x**2 + 0.0133333333333333*x + 1.0
21,Сероводород,(H2S),0.0015,0.964,60.35,16.1,0.27,0.042,0.036,"[3.0, 0.5, 8.0, 1.0, 12.0]",1.484375e-5*x**4 + 8.33333333333333e-5*x**3 - 0.0240625*x**2 - 0.0208333333333333*x + 8.0,"[1.0, 1.0, 1.0, 1.0, 1.0]",1.00000000000000
22,Сероуглерод,(C2S),,1.263,46.2,45,0,0.021,0.013,"[0.1, 0.2, 0.4, 1.0, 2.1]",-5.20833333333334e-8*x**4 + 4.16666666666667e-6*x**3 + 0.000520833333333334*x**2 + 0.0183333333333333*x + 0.4,,
23,Соляная кислота (концентрированная),(HCI),,1.198,,2,0,0.021,0.3,"[0.0, 0.1, 0.3, 1.0, 1.6]",-2.60416666666667e-7*x**4 - 2.08333333333334e-6*x**3 + 0.000729166666666667*x**2 + 0.0233333333333333*x + 0.3,,
24,Триметиламин,((CH3)3N),,0.671,2.9,6,0.07,0.047,0.1,"[0.0, 0.0, 0.0, 1.0, 2.2]",-4.6875e-7*x**4 + 2.08333333333333e-6*x**3 + 0.0014375*x**2 + 0.0241666666666667*x,"[0.1, 0.4, 0.9, 1.0, 1.0]",2.34375e-7*x**4 - 3.125e-6*x**3 - 0.00059375*x**2 + 0.01625*x + 0.9
25,Формальдегид,(CH2O),,0.815,19,0.6,0.19,0.034,1,"[0.0, 0.0, 5.0, 1.0, 15.0]",1.06770833333333e-5*x**4 + 0.000135416666666667*x**3 - 0.0155208333333333*x**2 - 0.0291666666666667*x + 5.0,"[0.4, 1.0, 1.0, 1.0, 1.0]",-1.5625e-7*x**4 + 6.25e-6*x**3 + 6.25000000000001e-5*x**2 - 0.0025*x + 1.0
26,Фосген,(COCl2),0.0035,1.432,8.2,0.6,0.05,0.061,1,"[0.0, 0.0, 0.0, 1.0, 2.7]",-3.38541666666667e-7*x**4 + 7.29166666666667e-6*x**3 + 0.00138541666666667*x**2 + 0.0220833333333333*x,"[0.1, 0.3, 0.7, 1.0, 1.0]",2.60416666666665e-8*x**4 - 5.20833333333333e-6*x**3 - 0.000135416666666666*x**2 + 0.0195833333333333*x + 0.7
27,Фтор,(F),0.0017,1.512,188.2,0.2,0.95,0.038,3,"[7.0, 8.0, 9.0, 1.0, 11.0]",9.375e-6*x**4 + 0.0001875*x**3 - 0.015*x**2 - 0.25*x + 9.0,"[1.0, 1.0, 1.0, 1.0, 1.0]",1.00000000000000
28,Фосфор треххлористый,(PCls),,1.57,75.3,3,0,0.01,0.2,"[0.1, 0.2, 0.4, 1.0, 2.3]",-1.85288457211878e-22*x**4 + 6.25e-6*x**3 + 0.0005*x**2 + 0.0175*x + 0.4,,
29,Фосфора хлорокись,(POCI3),,1.675,107.2,0.06,0,0.003,10,"[0.05, 0.1, 0.3, 1.0, 2.6]",1.30208333333332e-8*x**4 + 7.8125e-6*x**3 + 0.000619791666666667*x**2 + 0.019375*x + 0.3,,
30,Хлор,(Cl),0.0032,1.553,34.1,0.6,0.18,0.052,1,"[0.0, 3.0, 6.0, 1.0, 14.0]",8.85416666666667e-6*x**4 + 0.0001875*x**3 - 0.0135416666666667*x**2 - 0.125*x + 6.0,"[0.9, 1.0, 1.0, 1.0, 1.0]",-2.60416666666666e-8*x**4 + 1.04166666666667e-6*x**3 + 1.04166666666668e-5*x**2 - 0.000416666666666669*x + 1.0
31,Хлорпикрин,(CCl3NO2),,1.658,112.3,0.02,0,0.002,30,"[0.03, 0.1, 0.3, 1.0, 2.9]",8.59374999999999e-8*x**4 + 1.11458333333333e-5*x**3 + 0.000590625*x**2 + 0.0180416666666667*x + 0.3,,
32,Хлорциан,(ClCN),0.0021,1.22,12.6,0.75,0.04,0.048,0.8,"[0.0, 0.0, 0.0, 1.0, 39.0]",9.11458333333333e-6*x**4 + 0.000385416666666667*x**3 - 0.00239583333333333*x**2 - 0.129166666666667*x,"[0.0, 0.0, 0.6, 1.0, 1.0]",1.5625e-7*x**4 - 1.04166666666667e-5*x**3 - 0.0003125*x**2 + 0.0291666666666667*x + 0.6
33,Этиленимин,(C2H5N),,0.838,55,4.8,0,0.009,0.125,"[0.05, 0.1, 0.4, 1.0, 2.2]",6.51041666666666e-8*x**4 + 3.64583333333333e-6*x**3 + 0.000348958333333333*x**2 + 0.0210416666666667*x + 0.4,,
34,Этиленсульфид,(C2H4S),,1.005,55,0.1,0,0.013,6,"[0.05, 0.1, 0.4, 1.0, 2.2]",6.51041666666666e-8*x**4 + 3.64583333333333e-6*x**3 + 0.000348958333333333*x**2 + 0.0210416666666667*x + 0.4,,
35,Этилмеркаптан,(C2H5SH),,0.839,35,2.2,0,0.028,0.27,"[0.1, 0.2, 0.5, 1.0, 1.7]",-1.85288457211878e-22*x**4 - 1.6940658945086e-21*x**3 + 0.00025*x**2 + 0.02*x + 0.5,,
